Animal ID,Animal Type,Source,Source Date,Intake Region,Surrender Reason,Status Date,Status,Outcome Eval Cat,Primary Breed,Primary Color,Gender,DOB,Age Years,Age Months
406971,Rabbit,Foster Offspring,06/26/2016 01:00,Victoria Branch,,02/24/2017 09:30,Euthanized by Offsite Vet,TR,American,Black,Male,05/18/2016,0,9
406972,Rabbit,Foster Offspring,06/26/2016 01:00,Victoria Branch,,04/20/2017 13:40,Adopted Altered,TR,American,Black,Female,05/18/2016,6,7
406978,Rabbit,Foster Offspring,06/26/2016 01:00,Victoria Branch,,04/25/2017 13:11,Adopted Altered,TR,American,Grey,Female,05/18/2016,6,7
406973,Rabbit,Foster Offspring,06/26/2016 01:00,Victoria Branch,,05/06/2017 12:48,Adopted Altered,TR,American,Black,Male,05/18/2016,6,7
406975,Rabbit,Foster Offspring,06/26/2016 01:00,Victoria Branch,,09/01/2017 11:20,Adopted Altered,TR,American,Black,Male,05/18/2016,6,7
405813,Rabbit,Stray,06/14/2016 13:38,Kamloops & District Branch,,01/07/2017 12:25,Adopted Altered,H,Californian,White,Male,06/14/2014,8,6
406977,Rabbit,Foster Offspring,06/26/2016 01:00,Victoria Branch,,06/05/2017 14:33,Adopted Altered,TR,American,Black,Male,05/22/2016,6,6
419505,Rabbit,Owner Surrender,11/12/2016 16:14,Campbell River Branch,Divorce,10/06/2017 11:54,Transfer Out,TM,Lionhead,Brown,Female,05/12/2014,8,7
419506,Rabbit,Owner Surrender,11/12/2016 16:14,Campbell River Branch,Divorce,10/06/2017 11:57,Transfer Out,TM,Lionhead,Grey,Male,05/12/2014,8,7
419382,Rabbit,Humane Officer Surrendered,11/10/2016 14:31,Chilliwack Branch,,05/10/2017 14:18,Adopted Altered,H,Lionhead,Black,Male,10/06/2016,6,2
417836,Rabbit,Humane Officer Surrendered,10/22/2016 16:01,Chilliwack Branch,,01/13/2017 12:19,Adopted Offsite(Altered),TR,New Zealand,White,Male,10/22/2015,7,1
419386,Rabbit,Humane Officer Surrendered,11/10/2016 14:31,Chilliwack Branch,,02/06/2017 14:40,Adopted Altered,H,Rex,Orange,Female,10/06/2016,6,2
414743,Rabbit,Humane Officer Seized,09/19/2016 21:30,Maple Ridge Branch,,04/05/2017 12:12,Adopted Altered,TM,Dwarf,Grey,Male,12/03/2015,7,0
414538,Rabbit,Owner Surrender,09/17/2016 15:14,Maple Ridge Branch,Death Of Owner,01/04/2017 12:56,Adopted Altered,H,Lop Eared,Cream,Female,09/17/2012,10,3
419385,Rabbit,Humane Officer Surrendered,11/10/2016 14:31,Chilliwack Branch,,03/26/2017 13:27,Adopted Altered,H,Lionhead,Black,Female,10/06/2016,6,2
417093,Rabbit,Stray,10/15/2016 10:20,Kamloops & District Branch,,01/16/2017 15:23,Adopted Altered,TR,Lionhead,White,Female,10/17/2015,7,2
417152,Rabbit,Stray,10/15/2016 15:59,Abbotsford Branch,,01/18/2017 14:41,Adopted Altered,H,Dutch,White,Female,07/23/2016,6,4
417381,Rabbit,Stray,10/18/2016 16:39,Kelowna Branch,,01/23/2017 15:22,Adopted Altered,TR,American,Grey,Female,04/18/2016,6,8
417382,Rabbit,Stray,10/18/2016 16:39,Kelowna Branch,,01/23/2017 15:22,Adopted Altered,TR,American,Black,Female,04/18/2016,6,8
411733,Rabbit,Returns,11/28/2016 10:07,West Kootenay & District Branch,No Time,01/27/2017 15:24,Adopted Altered,H,Rex,Sable,Male,08/14/2016,6,4
418120,Rabbit,Stray,10/26/2016 16:07,Kelowna Branch,,02/02/2017 16:18,Adopted Altered,TR,American,White,Male,04/26/2016,6,7
418121,Rabbit,Stray,10/26/2016 16:07,Kelowna Branch,,02/02/2017 16:18,Adopted Altered,TR,American,Brown,Female,04/26/2016,6,7
420461,Rabbit,Owner Surrender,11/27/2016 13:04,Chilliwack Branch,No Time,02/10/2017 11:19,Adopted Offsite(Altered),TM,Californian Dwarf,Brown,Male,11/27/2010,12,0
420346,Rabbit,Stray,11/25/2016 12:57,Maple Ridge Branch,,03/02/2017 15:56,Adopted Altered,TR,New Zealand,White,Female,06/25/2016,6,5
415918,Rabbit,Stray,10/01/2016 12:44,Abbotsford Branch,,03/11/2017 15:11,Adopted Altered,H,New Zealand,White,Male,03/01/2016,6,9
415059,Rabbit,Stray,09/22/2016 16:48,Abbotsford Branch,,04/05/2017 10:40,Adopted Altered,H,Dutch,Black,Male,08/25/2016,6,3
419381,Rabbit,Humane Officer Surrendered,11/10/2016 14:31,Chilliwack Branch,,05/13/2017 15:11,Adopted Altered,H,Rex,Black,Male,10/06/2016,6,2
419383,Rabbit,Humane Officer Surrendered,11/10/2016 14:31,Chilliwack Branch,,05/13/2017 15:11,Adopted Altered,H,Lionhead,Black,Male,10/06/2016,6,2
417090,Rabbit,Stray,10/15/2016 09:10,Powell River & District Branch,,05/27/2017 15:12,Adopted Altered,H,Dwarf Eared,Brown,Male,10/15/2014,8,2
419384,Rabbit,Humane Officer Surrendered,11/10/2016 14:31,Chilliwack Branch,,07/05/2017 14:10,Adopted Offsite,H,Lionhead,Black,Male,10/06/2016,6,2
421618,Rabbit,Humane Officer Seized,12/14/2016 16:38,Maple Ridge Branch,,07/17/2017 14:10,Adopted Altered,TM,American,Brown,Female,12/20/2011,10,11
418378,Rabbit,Stray,10/29/2016 13:53,Kamloops & District Branch,,01/26/2017 14:50,Adopted Altered,H,Polish Dwarf,Blue Eyed White,Male,04/29/2016,6,7
417783,Rabbit,Owner Surrender,10/22/2016 12:55,Vernon & District Branch,Too Much Responsibility,02/18/2017 12:28,Adopted Altered,TR,Californian Dwarf,Blue,Female,10/22/2013,9,1
419043,Rabbit,Owner Surrender,11/07/2016 08:10,Vancouver Branch,Other,03/11/2017 17:10,Adopted Unaltered,H,Dutch,Black,Female,11/07/2015,7,1
420533,Rabbit,Stray,11/29/2016 10:15,Parksville-Qualicum Beach & District Branch,,01/24/2017 12:07,Adopted Altered,TR,Havana,Black,Male,,,
419261,Rabbit,Owner Surrender,11/09/2016 12:54,Nelson Branch,Moving House,01/26/2017 14:05,Adopted Unaltered,H,Havana,Black,Female,05/09/2014,8,7
418886,Rabbit,Owner Surrender,11/04/2016 13:11,South Peace Branch,Other,01/18/2017 12:58,Adopted Altered,H,Lionhead,Tan,Female,09/22/2015,7,2
420131,Rabbit,Humane Officer Surrendered,11/22/2016 15:20,Maple Ridge Branch,,12/12/2017 16:05,Adopted Altered,H,American,Brown,Male,12/29/2015,6,11
420132,Rabbit,Humane Officer Surrendered,11/22/2016 15:20,Maple Ridge Branch,,12/12/2017 16:05,Adopted Altered,H,American,Brown,Female,12/22/2015,6,11
425134,Rabbit,Owner Surrender,02/03/2017 11:39,Williams Lake & District Branch,Children Not Ready For A Pet,02/28/2018 17:03,Deceased,,Lionhead,Black,Female,10/03/2016,1,4
423141,Rabbit,Stray,01/07/2017 15:03,Kelowna Branch,,04/25/2018 19:29,Deceased,,Lionhead,Grey,Male,01/07/2015,3,3
423999,Rabbit,Owner Surrender,01/20/2017 09:56,West Kootenay & District Branch,Chewing,04/12/2017 11:29,Adopted Altered,H,Lionhead,Black,Female,01/20/2016,6,10
421794,Rabbit,Owner Surrender,12/16/2016 15:46,Nanaimo & District Branch,Owner Sick,02/17/2017 12:05,Euthanized by Offsite Vet,UU,American,Tan,Female,04/16/2016,0,10
411728,Rabbit,Returns,01/31/2017 12:20,West Kootenay & District Branch,No Time,03/14/2017 09:59,Adopted Altered,H,Rex,Brown,Male,08/14/2016,6,4
421620,Rabbit,Humane Officer Seized,12/14/2016 16:38,Maple Ridge Branch,,02/15/2017 09:46,Unassisted Death,TM,Lionhead,White,Female,12/18/2011,5,1
422021,Rabbit,Owner Surrender,12/20/2016 15:49,Burnaby Branch,Owner Had Allergies,01/11/2017 13:19,Adopted Altered,H,Holland Lop,Black,Male,12/20/2014,7,11
423757,Rabbit,Owner Surrender,01/17/2017 12:43,Vernon & District Branch,Behaviour - Pet Is Not Good With Children,02/03/2017 10:31,Unassisted Death,H,American,Brown,Female,12/17/2015,1,1
421732,Rabbit,Stray,12/16/2016 10:59,Abbotsford Branch,,03/05/2017 14:20,Adopted Unaltered,TM,Dutch,Orange,Female,,,
421804,Rabbit,Owner Surrender,12/16/2016 17:08,Quesnel & District Branch,Other,01/20/2017 16:31,Adopted Altered,H,Lionhead,White,Male,08/16/2016,6,4
421805,Rabbit,Owner Surrender,12/16/2016 17:08,Quesnel & District Branch,Other,01/20/2017 16:31,Adopted Altered,H,Dwarf,Sable,Male,08/16/2016,6,4
424124,Rabbit,Stray,01/21/2017 14:37,Kamloops & District Branch,,01/21/2017 15:57,Euthanized by Offsite Vet,UU,Dwarf Eared,Black,Unknown,08/21/2016,0,5
423482,Rabbit,Humane Officer Surrendered,01/12/2017 15:33,Nanaimo & District Branch,,03/03/2017 15:21,Redeemed,H,Lop Eared,White,Male,01/12/2016,6,11
422105,Rabbit,Owner Surrender,12/21/2016 16:58,Nelson Branch,No Time,01/26/2017 11:46,Adopted Altered,H,Dutch,Chocolate Tortoiseshell,Male,12/21/2015,6,11
422635,Rabbit,Stray,01/01/2017 12:28,North Cariboo District Branch,,02/02/2017 15:23,Adopted Altered,H,Palomino,Tan,Female,01/06/2015,7,11
425080,Rabbit,ACO Impound,02/02/2017 14:50,Burnaby Branch,,02/03/2017 10:43,Redeemed,H,American,Sable Agouti,Male,,,
425081,Rabbit,ACO Impound,02/02/2017 14:50,Burnaby Branch,,02/03/2017 10:45,Redeemed,H,American,Chocolate,Female,02/02/2010,12,10
425387,Rabbit,Stray,02/08/2017 10:01,Nanaimo & District Branch,,02/25/2017 11:09,Euthanized by Offsite Vet,UU,American,Black,Unknown,02/08/2016,1,0
422964,Rabbit,Owner Surrender,01/05/2017 16:18,Abbotsford Branch,Landlord Does Not Allow Pets,02/10/2017 15:35,Adopted Altered,H,Lop Eared,White,Male,08/05/2016,6,4
424973,Rabbit,Owner Surrender,02/01/2017 14:23,Sunshine Coast Branch ,Moving House,02/11/2017 11:08,Adopted Altered,TM,Rex,White,Male,06/01/2016,6,6
425133,Rabbit,Owner Surrender,02/03/2017 11:39,Williams Lake & District Branch,Children Not Ready For A Pet,02/12/2017 14:23,Adopted Altered,H,Lionhead,Black,Female,10/03/2016,6,2
423656,Rabbit,Stray,01/15/2017 12:04,Abbotsford Branch,,02/12/2017 15:05,Adopted Altered,H,Mini Rex,Black,Female,01/15/2016,6,11
423010,Rabbit,ACO Impound,01/06/2017 12:57,Burnaby Branch,,01/28/2017 15:29,Adopted Altered,H,New Zealand,White,Male,09/06/2016,6,3
423011,Rabbit,ACO Impound,01/06/2017 12:57,Burnaby Branch,,01/28/2017 15:29,Adopted Altered,H,New Zealand,White,Male,04/06/2016,6,8
423426,Rabbit,Owner Surrender,01/25/2017 10:02,Campbell River Branch,Too Many Other Animals,02/14/2017 13:54,Adopted Altered,H,Havana,Black,Female,11/02/2016,6,1
423427,Rabbit,Owner Surrender,01/25/2017 10:04,Campbell River Branch,Too Many Other Animals,02/14/2017 13:54,Adopted Altered,H,Havana,Black,Female,11/02/2016,6,1
419696,Rabbit,Returns,12/23/2016 14:56,Cowichan & District Branch,,02/16/2017 13:49,Adopted Altered,H,American,Chocolate Tan,Male,,,
421795,Rabbit,Owner Surrender,12/16/2016 15:46,Nanaimo & District Branch,Owner Sick,02/18/2017 14:56,Adopted Altered,H,American,Silver,Male,04/16/2016,6,8
426105,Rabbit,Stray,02/19/2017 14:55,Powell River & District Branch,,02/20/2017 10:25,Unassisted Death,UU,Havana,Brown,Female,12/20/2016,0,0
423988,Rabbit,Owner Surrender,01/19/2017 15:42,Maple Ridge Branch,Too Many Other Animals,03/01/2017 13:00,Adopted Altered,H,English Spot,White,Female,04/19/2016,6,7
424230,Rabbit,Stray,01/23/2017 15:11,Abbotsford Branch,,02/26/2017 12:26,Adopted Altered,H,Dutch,White,Female,01/23/2016,6,10
426575,Rabbit,Stray,02/27/2017 16:11,Chilliwack Branch,,02/28/2017 15:54,Redeemed,H,American,Brown,Male,02/28/2016,6,9
424132,Rabbit,Stray,01/21/2017 15:46,South Peace Branch,,03/01/2017 12:24,Adopted Altered,H,American Sable,Tan,Male,08/10/2016,6,4
425966,Rabbit,Stray,02/17/2017 14:15,Abbotsford Branch,,03/02/2017 14:44,Adopted Altered,H,Lop Eared,White,Male,02/17/2016,6,10
423006,Rabbit,Owner Surrender,01/06/2017 12:37,Victoria Branch,Found Abandoned,03/03/2017 16:06,Adopted Altered,TR,American,Agouti,Male,01/11/2015,7,11
425482,Rabbit,Owner Surrender,02/09/2017 15:55,Vernon & District Branch,No Time,03/04/2017 15:59,Adopted Altered,H,Lionhead,Grey,Female,01/02/2016,6,11
410798,Rabbit,Transfer In,02/26/2017 14:23,Victoria Branch,Unable To Find Home,03/05/2017 14:33,Adopted Altered,H,American,Black,Male,,,
424287,Rabbit,Owner Surrender,01/24/2017 12:37,Quesnel & District Branch,Cant Afford,03/14/2017 12:17,Adopted Altered,TR,Mini Rex,White,Female,09/09/2016,6,3
407794,Rabbit,Returns,01/18/2017 12:39,Campbell River Branch,,03/09/2017 13:41,Adopted Altered,H,Havana,Black,Male,06/16/2016,6,6
546916,Rabbit,Stray,01/24/2017 12:50,Burnaby Branch,,03/09/2017 12:48,Adopted Altered,H,American,White,Female,04/14/2017,5,8
424000,Rabbit,Owner Surrender,01/20/2017 09:56,West Kootenay & District Branch,Chewing,03/10/2017 12:17,Adopted Altered,H,Lionhead,Orange,Male,01/20/2016,6,10
422341,Rabbit,Stray,12/27/2016 15:32,Campbell River Branch,,03/11/2017 13:49,Adopted Altered,TR,Havana,White,Male,12/27/2015,6,11
426405,Rabbit,Stray,02/24/2017 14:29,Cowichan & District Branch,,03/14/2017 11:17,Adopted Altered,H,Mini Rex,Brown Brindle,Female,,,
425974,Rabbit,Owner Surrender,02/17/2017 14:35,Victoria Branch,Moving House,03/14/2017 17:10,Adopted Altered,H,Lionhead,Dark Grey,Male,10/17/2016,6,2
423811,Rabbit,Owner Surrender,01/18/2017 10:10,Kamloops & District Branch,Moving House,03/20/2017 10:29,Adopted Altered,TR,Dwarf,Black,Female,09/01/2016,6,3
423812,Rabbit,Owner Surrender,01/18/2017 10:10,Kamloops & District Branch,Moving House,03/20/2017 10:32,Adopted Altered,TR,Dwarf,White,Male,09/01/2016,6,3
422340,Rabbit,Stray,12/27/2016 15:32,Campbell River Branch,,03/23/2017 13:10,Adopted Altered,H,Havana,Grey,Male,12/27/2014,4,3
422190,Rabbit,Humane Officer Seized,12/22/2016 18:34,Cruelty Investigations Department,,04/08/2017 15:35,Adopted Altered,H,New Zealand,Tan,Female,12/22/2015,6,11
421619,Rabbit,Humane Officer Seized,12/14/2016 16:38,Maple Ridge Branch,,04/08/2017 16:04,Adopted Altered,TM,Rex,Black,Female,12/18/2011,11,0
422965,Rabbit,Owner Surrender,01/05/2017 16:18,Abbotsford Branch,Landlord Does Not Allow Pets,04/11/2017 18:22,Adopted Altered,H,Dutch,Black,Male,08/05/2016,6,4
426404,Rabbit,Stray,02/24/2017 14:29,Cowichan & District Branch,,03/13/2017 11:03,Adopted Altered,H,Mini Rex,Tortoiseshell,Female,,,
421621,Rabbit,Humane Officer Seized,12/14/2016 16:38,Maple Ridge Branch,,05/09/2017 13:29,Adopted Offsite,TM,Lop Eared,Black,Male,12/18/2011,11,0
422843,Rabbit,Owner Surrender,01/04/2017 12:15,Powell River & District Branch,Too Many Other Animals,05/27/2017 15:12,Adopted Altered,H,Havana,Brown,Male,01/08/2015,7,11
422191,Rabbit,Humane Officer Seized,12/22/2016 18:34,Cruelty Investigations Department,,06/17/2017 13:31,Adopted Altered,H,New Zealand,Sable,Male,12/31/2014,7,11
423051,Rabbit,Owner Surrender,01/06/2017 15:26,Abbotsford Branch,Abandoned By Tenant During Move,07/15/2017 14:09,Adopted Altered,H,American,Silver,Female,06/07/2016,6,6
423052,Rabbit,Owner Surrender,01/06/2017 15:26,Abbotsford Branch,Abandoned By Tenant During Move,07/15/2017 14:09,Adopted Altered,H,American,Silver,Female,,,
424976,Rabbit,Owner Surrender,02/01/2017 14:23,Sunshine Coast Branch ,Moving House,02/26/2017 13:10,Adopted Altered,H,Rex,Agouti,Male,06/01/2016,6,6
425579,Rabbit,Stray,02/11/2017 15:05,Powell River & District Branch,,08/20/2017 12:35,Adopted Altered,TR,American,Brown,Female,02/11/2016,6,10
407507,Rabbit,Returns,01/22/2017 11:06,West Vancouver Branch,,10/05/2017 13:39,Adopted Altered,H,New Zealand,White,Male,07/04/2015,7,5
407508,Rabbit,Returns,01/22/2017 11:07,West Vancouver Branch,,10/05/2017 13:39,Adopted Altered,H,New Zealand,White,Male,02/08/2016,6,10
425965,Rabbit,Stray,02/17/2017 14:15,Abbotsford Branch,,02/25/2017 15:53,Adopted Altered,H,Lionhead,Dark Grey,Male,02/17/2016,6,10
411363,Rabbit,Returns,01/27/2017 16:02,Sunshine Coast Branch ,Landlord Does Not Allow Pets,02/14/2017 11:26,Adopted Altered,H,Lionhead,White,Female,08/15/2015,7,4
423990,Rabbit,Owner Surrender,01/19/2017 15:42,Maple Ridge Branch,Too Many Other Animals,02/10/2017 11:00,Adopted Offsite(Altered),H,Lop Eared,Brown,Female,08/24/2016,6,3
424247,Rabbit,Owner Surrender,01/23/2017 15:49,Burnaby Branch,Unable To Find Home,03/05/2017 15:25,Adopted Altered,H,American,Black,Male,01/23/2014,8,10
433350,Rabbit,Stray,05/23/2017 14:15,Abbotsford Branch,,06/09/2017 16:56,Euthanized by Offsite Vet,TR,Lionhead,Dark Grey,Female,05/23/2012,5,0
433933,Rabbit,Owner Surrender,05/30/2017 13:56,Chilliwack Branch,Found Abandoned,08/07/2017 14:28,Adopted Altered,TR,Flemish Giant,Silver,Female,,,
427331,Rabbit,Stray,03/09/2017 11:57,West Kootenay & District Branch,,07/04/2017 09:14,Euthanized by Offsite Vet,UU,Flemish Giant,Brown Brindle,Male,03/12/2016,1,3
430521,Rabbit,Owner Surrender,04/20/2017 12:56,Sunshine Coast Branch ,Behaviour - Pet Is Not Good With Children,05/02/2017 12:03,Adopted Altered,TR,Lionhead,Fawn,Male,04/20/2012,10,7
432945,Rabbit,Humane Officer Surrendered,05/17/2017 17:48,Maple Ridge Branch,,06/13/2017 16:31,Unassisted Death,TM,Dwarf,White,Female,09/19/2016,0,8
432946,Rabbit,Humane Officer Surrendered,05/17/2017 17:48,Maple Ridge Branch,,05/21/2017 09:49,Unassisted Death,UU,Lionhead,Grey,Female,01/19/2017,0,4
423428,Rabbit,Owner Surrender,03/18/2017 13:08,Campbell River Branch,Too Many Other Animals,04/01/2017 16:38,Adopted Altered,H,Havana,Black,Male,11/03/2016,6,1
433144,Rabbit,Stray,05/19/2017 17:19,Victoria Branch,,05/20/2017 10:03,Euthanized by Offsite Vet,UU,American,Orange,Male,05/19/2017,0,0
428224,Rabbit,Humane Officer Seized,03/20/2017 17:28,Vancouver Branch,,05/30/2017 09:13,Adopted Offsite(Unaltered),TR,Rex,White,Unknown,03/20/2015,7,8
428894,Rabbit,Stray,03/28/2017 16:44,West Vancouver Branch,,04/08/2017 15:53,Euthanized by Offsite Vet,UU,American,White,Female,,,
427837,Rabbit,Owner Surrender,03/15/2017 17:40,Nanaimo & District Branch,Too Many Other Animals,03/24/2017 11:47,Euthanized by Offsite Vet,UU,American,Black,Female,03/15/2012,5,0
432168,Rabbit,Owner Surrender,05/10/2017 10:33,Victoria Branch,No Time,05/17/2017 16:54,Adopted Altered,TR,American,Black,Male,02/21/2017,5,9
431792,Rabbit,Stray,05/04/2017 15:22,Comox Valley & District Branch,,05/05/2017 09:06,Euthanized by Offsite Vet,UU,American,Brown,Unknown,,,
434197,Rabbit,Humane Officer Surrendered,05/17/2017 17:48,Maple Ridge Branch,,08/19/2017 09:42,Adopted Unaltered,TM,Lionhead,Black,Female,06/01/2017,5,6
434199,Rabbit,Humane Officer Surrendered,05/17/2017 17:48,Maple Ridge Branch,,08/19/2017 09:42,Adopted Unaltered,TM,Lionhead,Brown,Female,06/01/2017,5,6
434122,Rabbit,Stray,06/01/2017 13:52,South Okanagan/Similkameen Branch,,06/09/2017 12:01,Euthanized by Offsite Vet,UU,New Zealand,White,Male,06/01/2013,4,0
422635,Rabbit,Returns,05/31/2017 15:03,North Cariboo District Branch,,10/28/2017 14:02,Adopted Altered,H,Palomino,Tan,Female,01/06/2015,7,11
432226,Rabbit,Owner Surrender,05/10/2017 14:58,Abbotsford Branch,Abandoned By Tenant During Move,10/11/2018 17:09,Adopted Altered,TR,Californian,White,Female,05/10/2016,6,7
432227,Rabbit,Owner Surrender,05/10/2017 14:58,Abbotsford Branch,Abandoned By Tenant During Move,10/11/2018 17:09,Adopted Altered,TR,Californian,White,Male,05/10/2016,6,7
428966,Rabbit,Stray,03/29/2017 15:55,Victoria Branch,,04/02/2017 16:48,Euthanized by Offsite Vet,UU,American,Tan,Unknown,03/22/2017,0,0
427142,Rabbit,Owner Surrender,03/06/2017 16:04,Victoria Branch,Unable To Find Home,04/04/2017 15:18,Adopted Altered,H,American,Agouti,Male,03/06/2015,7,9
426575,Rabbit,Stray,03/09/2017 10:43,Chilliwack Branch,,03/14/2017 15:19,Redeemed,H,American,Brown,Male,02/28/2016,6,9
427240,Rabbit,Stray,03/08/2017 09:21,Cowichan & District Branch,,03/11/2017 15:37,Unassisted Death,UU,American,Black,Unknown,02/25/2017,0,0
426718,Rabbit,Stray,03/01/2017 10:52,Maple Ridge Branch,,03/15/2017 10:04,Adopted Altered,H,Flemish Giant,Grey,Female,03/01/2015,7,9
427146,Rabbit,Owner Surrender,03/06/2017 17:27,Maple Ridge Branch,No Longer Wanted,03/16/2017 12:56,Adopted Unaltered,H,American,Grey,Male,11/07/2016,6,1
427639,Rabbit,Owner Surrender,03/14/2017 13:37,Vancouver Branch,Other,03/20/2017 16:06,Adopted Altered,H,Rex,Grey,Male,03/17/2009,13,9
428206,Rabbit,Owner Surrender,03/20/2017 13:17,Maple Ridge Branch,Landlord Does Not Allow Pets,03/20/2017 15:56,Adopted Altered,H,Dwarf,Brown,Male,07/11/2015,7,5
428262,Rabbit,Owner Surrender,03/21/2017 10:47,Parksville-Qualicum Beach & District Branch,No Longer Wanted,03/22/2017 13:36,Adopted Altered,H,Lionhead,White,Male,03/22/2012,10,8
411733,Rabbit,Returns,02/28/2017 14:47,South Okanagan/Similkameen Branch,No Time,03/28/2017 16:26,Adopted Altered,H,Rex,Sable,Male,08/14/2016,6,4
427401,Rabbit,Owner Surrender,03/10/2017 11:32,Burnaby Branch,Cant Afford,03/29/2017 14:56,Adopted Altered,H,Rex,Black Otter,Male,03/10/2016,6,9
429006,Rabbit,Owner Surrender,03/30/2017 10:55,Vancouver Branch,Owner Sick,04/01/2017 09:36,Euthanized,TR,American,Grey,Female,03/30/2015,2,0
427041,Rabbit,Owner Surrender,03/04/2017 14:21,Abbotsford Branch,Moving House,04/07/2017 16:17,Adopted Altered,H,Dutch,Tan,Female,03/04/2014,8,9
404767,Rabbit,Returns,04/07/2017 16:16,Alberni-Clayoquot Branch,Too Many Other Animals,04/24/2017 14:08,Adopted Altered,H,American,Brown Brindle,Female,06/02/2015,7,6
427561,Rabbit,Owner Surrender,03/18/2017 13:15,Campbell River Branch,Too Many Other Animals,04/13/2017 13:35,Adopted Altered,H,Havana,Black,Female,12/13/2016,6,0
427562,Rabbit,Owner Surrender,03/18/2017 13:17,Campbell River Branch,Too Many Other Animals,04/13/2017 13:35,Adopted Altered,H,Havana,Black,Female,12/13/2016,6,0
427817,Rabbit,Owner Surrender,03/15/2017 16:03,Nelson Branch,Other,04/13/2017 14:41,Adopted Altered,H,Dutch,White,Female,12/25/2016,5,11
427815,Rabbit,Owner Surrender,03/15/2017 16:03,Nelson Branch,Other,04/13/2017 14:41,Adopted Altered,H,Dutch,Grey,Female,12/25/2016,5,11
